15:37:15.243 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
15:37:15.336 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeVersion=1.5, archetypeGroupId=com.browserstack, archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=wyw7pyopyvEwAuCT7juT, groupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=luiscastaeda_38TFxY, BROWSERSTACK_FRAMEWORK=java, BUILD_NAME=browserstack build, version=1.0, PROJECT_NAME=BrowserStack Sample, BROWSERSTACK_SOURCE=java:eclipse:v1.0.10]
15:40:51.722 [Worker-0: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
15:40:51.727 [Worker-0: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
15:40:51.741 [Worker-0: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
15:40:51.742 [Worker-0: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
15:45:09.062 [Worker-16: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
15:45:09.065 [Worker-16: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
15:45:09.069 [Worker-16: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
15:45:09.069 [Worker-16: Launching EmployeeTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
15:46:32.020 [main] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
15:56:54.420 [Framework stop - Equinox Container: 4faec1ca-a080-4e3d-b1c0-d0339e971efa] INFO  c.b.BrowserStackPluginActivator - Stopping BrowserStack Plugin...
